tm,stnId,stnNm,avgTa,minTa,maxTa,sumRn,avgWs,maxWs,maxWsWd,maxInsWs,maxInsWsWd,avgRhm,minRhm,minRhmHrmt,avgCm10Te,avgCm20Te,avgCm30Te,avgCm5Te,avgLmac,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,avgPa,avgPs,avgPv,avgTca,avgTd,avgTs,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,hr1MaxIcsr,hr1MaxIcsrHrmt,hr1MaxRn,hr1MaxRnHrmt,hr24SumRws,iscs,maxInsWsHrmt,maxPs,maxPsHrmt,maxTaHrmt,maxWd,maxWsHrmt,mi10MaxRn,mi10MaxRnHrmt,minPs,minPsHrmt,minTaHrmt,minTg,n99Rn,ssDur,sumDpthFhsc,sumFogDur,sumGsr,sumLrgEv,sumRnDur,sumSmlEv,sumSsHr
2025-09-01,211,인제,25.0,22.3,27.8,36.2,1.9,4.3,180,9.6,320,85.1,74,1152,,,,,5.0,,,,,,982.8,1005.5,26.6,8.5,22.1,26.0,,,,,,,29.6,1850,1625,,1853,1007.6,0003,1149,200,1026,15.3,1853,1003.2,1557,2400,21.7,,13.0,,,,,,,0.3
2025-09-02,211,인제,23.9,19.9,29.6,,0.9,2.6,250,4.4,200,80.4,49,1530,,,,,1.4,,,,,,986.6,1009.5,23.2,2.9,19.9,27.9,,,,,,,,,772,,1324,1012.8,2354,1529,360,1451,,,1006.8,0041,2337,17.9,,13.0,,,,,,,7.6
2025-09-03,211,인제,24.2,19.4,31.2,,1.5,3.4,50,6.3,360,77.1,47,1310,,,,,2.5,,,,,,989.4,1012.4,22.6,5.5,19.5,27.0,,,,,,,,,1313,,1456,1014.3,0753,1426,50,1418,,,1009.6,1524,0049,17.7,,12.9,,,,,,,7.0
2025-09-04,211,인제,21.4,19.2,26.2,43.1,1.7,3.6,50,7.2,20,88.3,70,1554,,,,,4.5,,,,,,989.2,1012.4,22.3,7.5,19.3,24.1,,,,,,,21.5,636,1477,,1427,1014.5,0944,1552,50,1337,6.2,638,1010.4,1541,2354,18.0,,12.9,,,,,,,1.6
2025-09-05,211,인제,23.8,17.9,31.4,,0.9,2.5,50,4.5,20,80.1,50,1546,,,,,1.8,,,,,,987.9,1010.9,23.1,3.4,19.8,26.9,,,,,,,,,810,,0101,1012.9,0803,1546,180,0002,,,1008.5,1453,0553,16.1,,12.9,,,,,,,9.3
2025-09-06,211,인제,24.2,21.7,26.7,10.1,1.4,4.4,200,9.3,180,90.9,78,0951,,,,,6.5,,,,,,984.5,1007.4,27.2,8.1,22.5,26.0,,,,,,,4.7,1543,1201,,1109,1010.6,0001,1410,200,1020,1.8,1627,1005.0,2400,0545,20.3,,12.8,,,,,,,0.0
2025-09-07,211,인제,24.2,18.7,29.3,6.9,1.6,3.7,200,7.3,200,78.3,49,1437,,,,,2.9,,,,,,984.5,1007.3,23.2,6.4,19.7,26.9,,,,,,,4.0,159,1396,,1151,1010.9,2352,1306,180,1153,1.2,250,1004.4,0301,2354,16.1,,12.8,,,,,,,3.3
2025-09-08,211,인제,22.2,18.8,28.2,0.0,0.8,2.2,180,4.4,140,80.0,51,1351,,,,,3.9,,,,,,988.1,1011.2,20.9,8.0,18.2,26.3,,,,,,,0.0,,699,,1255,1013.0,0930,1533,180,1302,0.0,,1008.9,1556,0004,18.5,,12.7,,,,,,,4.5
2025-09-09,211,인제,19.9,14.7,24.4,0.0,1.0,2.1,20,3.6,360,83.6,54,1343,,,,,1.0,,,,,,990.4,1013.7,19.2,8.1,16.8,22.9,,,,,,,0.0,,849,,1435,1015.6,2336,1342,70,0037,0.0,,1012.2,0022,2348,12.3,,12.7,,,,,,,0.0
2025-09-10,211,인제,18.7,11.3,29.5,,1.7,3.1,50,5.6,50,69.9,28,1426,,,,,0.1,,,,,,991.5,1015.0,14.1,0.1,12.0,22.4,,,,,,,,,1479,,1438,1017.4,2339,1505,20,1437,,,1011.8,1413,0614,9.5,,12.6,,,,,,,9.5
