날짜,평균풍속,최대풍속,최대순간풍속,평균습도,최소습도,저습도후보
2025-10-27,1.8,4.7,11.9,44.9,20,True
2025-11-02,1.8,4.7,10.7,57.6,31,True
2025-11-10,1.7,3.7,7.8,36.3,18,True
2025-11-16,1.9,4.7,9.7,57.5,22,True
2025-11-17,2.5,4.8,11.4,29.0,17,True
2025-11-18,1.6,5.3,11.0,51.1,27,True
2025-11-20,2.0,5.3,10.5,56.3,26,True
2025-11-21,1.9,5.3,11.1,54.6,30,True
2025-12-01,2.0,4.7,9.5,47.5,23,True
2025-12-02,1.9,4.8,10.0,38.1,19,True
2025-12-03,2.3,5.7,16.2,36.3,23,True
2025-12-04,1.7,4.0,9.1,53.6,26,True
2025-12-05,2.0,4.1,8.8,58.3,39,True
2025-12-08,1.3,4.1,10.2,42.6,15,True
2025-12-21,1.6,5.3,9.9,41.6,22,True
2025-12-25,1.6,4.3,11.6,54.5,30,True
2025-12-26,1.9,3.8,7.7,44.9,28,True
2025-12-30,1.2,4.2,9.8,53.0,24,True
2025-12-31,1.3,3.9,7.8,37.4,19,True
2026-01-01,1.1,4.1,7.6,53.6,28,True
2026-01-05,0.8,3.0,5.8,59.3,26,True
2026-01-07,2.8,5.1,12.9,44.8,16,True
2026-01-08,1.2,3.3,6.5,44.4,25,True
2026-01-11,2.3,6.4,19.3,39.4,20,True
2026-01-13,2.5,6.3,15.9,43.6,20,True
2026-01-14,1.0,4.3,8.2,50.3,29,True
2026-01-21,1.5,4.6,9.4,55.8,28,True
2026-01-22,1.9,5.2,9.9,48.5,26,True
2026-01-23,1.9,5.4,12.0,58.5,24,True
2026-01-24,1.9,5.2,13.2,47.9,18,True
2026-01-25,0.9,3.2,6.1,56.5,26,True
2026-01-26,1.1,3.0,6.3,57.3,37,True
2026-01-27,1.5,4.3,9.1,55.6,28,True
2026-01-28,1.1,3.8,8.8,54.1,23,True
2026-01-29,1.3,5.0,10.4,46.6,19,True
2026-01-30,1.0,3.8,7.0,52.8,26,True
2026-01-31,1.3,4.5,9.1,52.4,24,True
2026-02-01,1.1,4.9,10.7,56.8,29,True
2026-02-06,1.9,4.1,6.5,39.3,17,True
2026-02-07,1.7,5.4,11.6,39.9,16,True
2026-02-08,1.8,4.4,8.3,40.6,25,True
2026-02-09,1.1,3.9,7.7,51.3,24,True
2026-02-15,1.5,4.7,12.0,56.6,14,True
2026-02-17,2.0,4.9,10.6,55.0,17,True
2026-02-18,1.9,4.5,8.6,55.1,25,True
2026-02-21,2.0,6.0,12.2,57.6,30,True
2026-02-22,3.4,7.5,17.5,40.0,12,True
2026-02-23,3.3,5.5,12.1,21.1,11,True
2026-02-24,0.7,2.2,4.9,44.8,25,True
2026-03-11,0.8,2.5,5.6,57.8,15,True
2026-03-17,0.9,3.5,6.0,55.8,20,True
2026-03-19,1.9,5.1,9.3,52.9,16,True
2026-03-20,2.7,5.1,10.5,49.9,21,True
2026-03-21,1.3,5.0,10.2,52.6,15,True
2026-03-22,0.9,3.6,7.0,44.6,7,True
2026-03-23,1.6,5.4,11.0,48.4,23,True
2026-03-24,1.2,3.2,6.1,50.3,21,True
2026-03-25,1.1,3.2,6.1,48.0,15,True
2026-03-26,0.9,4.7,9.3,52.8,20,True
2026-03-27,1.5,4.8,10.6,57.0,34,True
2026-03-28,1.2,3.6,7.1,57.0,19,True
2026-03-29,1.1,3.0,6.9,50.0,13,True
2026-03-30,0.9,3.5,6.6,52.6,22,True
2026-04-03,1.1,4.1,8.3,52.4,28,True
2026-04-05,2.1,3.4,8.0,56.8,23,True
2026-04-07,1.7,5.0,10.4,42.5,15,True
2026-04-08,1.5,4.6,9.5,51.4,20,True
2026-04-12,1.4,4.4,8.7,54.5,18,True
2026-04-13,1.4,4.5,8.1,47.5,17,True
2026-04-14,2.8,5.3,10.2,59.4,34,True
2026-04-16,2.2,4.1,7.5,51.1,17,True
2026-04-17,1.9,4.0,9.4,53.9,28,True
2026-04-18,1.1,3.3,6.4,56.4,18,True
2026-04-19,0.9,3.1,7.1,48.4,16,True
2026-04-21,3.0,6.5,12.4,43.9,25,True
2026-04-22,1.7,4.8,12.7,44.8,21,True
2026-04-23,2.4,6.3,10.8,41.5,18,True
2026-04-24,1.7,4.1,7.0,44.6,10,True
2026-04-25,1.3,3.8,7.9,47.1,11,True
2026-04-26,1.2,4.1,8.1,44.5,15,True
2026-04-30,1.1,3.4,6.2,53.4,22,True
2026-05-01,1.8,4.6,9.9,53.0,24,True
2026-05-05,1.6,4.3,10.7,58.5,22,True
2026-05-06,1.9,4.4,10.2,57.5,38,True
2026-05-08,1.7,5.0,12.3,57.0,27,True
2026-05-09,1.1,4.1,9.2,58.3,24,True
2026-05-10,1.0,3.6,7.7,54.6,21,True
2026-05-17,0.9,2.8,6.3,58.8,24,True
2026-05-18,1.1,3.9,7.3,56.6,25,True
2026-05-19,1.0,3.5,6.3,57.4,33,True
2026-05-30,1.6,5.0,10.6,58.6,31,True
2026-05-31,1.1,4.3,9.5,59.1,25,True
