월,관측일수,평균습도_월평균,평균습도_중앙값,최소습도_월평균,저습도후보일수,저습도후보비율_pct
2025-09,30,82.57666666666667,82.85,56.833333333333336,0,0.0
2025-10,31,80.81612903225808,80.9,59.41935483870968,1,3.225806451612903
2025-11,30,67.07,67.55,37.166666666666664,7,23.333333333333332
2025-12,31,66.25806451612904,68.9,45.064516129032256,11,35.483870967741936
2026-01,31,58.60645161290322,57.3,30.516129032258064,18,58.06451612903226
2026-02,28,59.982142857142854,64.0,33.857142857142854,12,42.857142857142854
2026-03,31,62.674193548387095,61.4,32.483870967741936,14,45.16129032258064
2026-04,30,58.32,55.45,27.333333333333332,18,60.0
2026-05,31,67.58387096774193,63.1,38.516129032258064,11,35.483870967741936
2026-06,30,69.70666666666666,69.3,41.0,0,0.0
2026-07,31,82.73548387096774,80.9,62.12903225806452,0,0.0
2026-08,31,80.07096774193548,79.1,60.354838709677416,0,0.0
