시작일,종료일,연속일수,기간평균습도
2026-01-21,2026-02-01,12,53.56666666666666
2026-03-19,2026-03-30,12,51.34166666666667
2026-04-21,2026-04-26,6,44.4
2025-12-01,2025-12-05,5,46.760000000000005
2026-02-06,2026-02-09,4,42.775
2026-02-21,2026-02-24,4,40.875
2026-04-16,2026-04-19,4,52.45
2025-11-16,2025-11-18,3,45.86666666666667
2025-12-30,2026-01-01,3,48.0
2026-04-12,2026-04-14,3,53.800000000000004
2026-05-08,2026-05-10,3,56.63333333333333
2026-05-17,2026-05-19,3,57.6
2025-11-20,2025-11-21,2,55.45
2025-12-25,2025-12-26,2,49.7
2026-01-07,2026-01-08,2,44.599999999999994
2026-01-13,2026-01-14,2,46.95
2026-02-17,2026-02-18,2,55.05
2026-04-07,2026-04-08,2,46.95
2026-04-30,2026-05-01,2,53.2
2026-05-05,2026-05-06,2,58.0
2026-05-30,2026-05-31,2,58.85
2025-10-27,2025-10-27,1,44.9
2025-11-02,2025-11-02,1,57.6
2025-11-10,2025-11-10,1,36.3
2025-12-08,2025-12-08,1,42.6
2025-12-21,2025-12-21,1,41.6
2026-01-05,2026-01-05,1,59.3
2026-01-11,2026-01-11,1,39.4
2026-02-15,2026-02-15,1,56.6
2026-03-11,2026-03-11,1,57.8
2026-03-17,2026-03-17,1,55.8
2026-04-03,2026-04-03,1,52.4
2026-04-05,2026-04-05,1,56.8
