월,관측일수,평균실효습도,최저실효습도,기준35이하일수,기준25이하일수,기준35_2일이상구간일수,기준25_2일이상구간일수
2025-09,30,68.69296279999999,63.010149,0,0,0,0
2025-10,31,67.56572854838709,52.67715299999999,0,0,0,0
2025-11,30,56.084683,41.924148,0,0,0,0
2025-12,31,55.73921825806451,37.61130299999999,0,0,0,0
2026-01,31,48.70197774193548,42.168896999999994,0,0,0,0
2026-02,28,49.08441535714285,33.924524999999996,2,0,2,0
2026-03,31,52.344581225806444,40.455918,0,0,0,0
2026-04,30,48.675163399999995,37.29449399999999,0,0,0,0
2026-05,31,56.28247529032257,48.08947499999999,0,0,0,0
2026-06,30,57.80631059999999,53.128485,0,0,0,0
2026-07,31,68.45872712903225,55.64349299999999,0,0,0,0
2026-08,31,66.12667103225806,58.48729799999999,0,0,0,0
