날짜,평균풍속,최대풍속,최대순간풍속,평균습도,실효습도_계산값,육상_주의보_수치충족
2026-01-11,2.3,6.4,19.3,39.4,43.76780399999999,False
2026-02-22,3.4,7.5,17.5,40.0,43.389603,False
2026-01-10,3.7,8.1,16.9,69.3,50.026347,False
2025-12-03,2.3,5.7,16.2,36.3,37.61130299999999,False
2026-01-13,2.5,6.3,15.9,43.6,47.19132899999999,False
2026-07-27,0.9,5.5,15.1,88.3,73.178628,False
2026-04-15,2.9,6.9,14.5,63.8,48.85768799999999,False
2026-04-11,3.3,6.4,13.9,64.6,58.186635,False
2026-01-24,1.9,5.2,13.2,47.9,44.157849,False
2026-08-08,4.1,7.2,13.2,72.5,59.89118699999999,False
